-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zero_         0.01%     112.739us         0.07%     589.022us      17.849us       0.000us         0.00%      29.278us       0.887us            33  
                                            aten::slice         0.80%       6.993ms         0.97%       8.483ms       3.555us       0.000us         0.00%       0.000us       0.000us          2386  
                                            aten::empty         2.56%      22.464ms         2.63%      23.090ms       5.541us       0.000us         0.00%       0.000us       0.000us          4167  
                                         cudaEventQuery         0.06%     550.806us         0.06%     550.806us       4.050us       0.000us         0.00%       0.000us       0.000us           136  
                                          cudaHostAlloc         0.01%      85.643us         0.01%      85.643us      42.821us       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.06%     485.546us         0.76%       6.673ms      16.723us       0.000us         0.00%     237.244us       0.595us           399  
                                       aten::lift_fresh         0.01%      62.523us         0.01%      62.523us       0.374us       0.000us         0.00%       0.000us       0.000us           167  
                                          aten::detach_         0.00%      10.993us         0.00%      10.993us       0.282us       0.000us         0.00%       0.000us       0.000us            39  
                                         aten::_to_copy         0.09%     807.827us         0.70%       6.187ms      30.935us       0.000us         0.00%     237.244us       1.186us           200  
                                    aten::empty_strided         1.36%      11.951ms         1.37%      12.071ms       6.561us       0.000us         0.00%       0.000us       0.000us          1840  
                                        cudaMemcpyAsync         1.21%      10.600ms         1.21%      10.600ms      12.060us       0.000us         0.00%       0.000us       0.000us           879  
                                       aten::empty_like         0.35%       3.049ms         1.57%      13.778ms       8.401us       0.000us         0.00%       0.000us       0.000us          1640  
                                       aten::pin_memory         0.03%     284.235us         0.22%       1.906ms      29.777us       0.000us         0.00%       0.000us       0.000us            64  
                                        aten::is_pinned         0.03%     305.266us         0.07%     577.122us       9.018us       0.000us         0.00%       0.000us       0.000us            64  
                               cudaPointerGetAttributes         0.03%     271.856us         0.03%     271.856us       4.248us       0.000us         0.00%       0.000us       0.000us            64  
                                      aten::_pin_memory         0.06%     530.840us         0.12%       1.044ms      16.318us       0.000us         0.00%       0.000us       0.000us            64  
                                             aten::set_         0.01%      93.393us         0.01%      93.393us       1.459us       0.000us         0.00%       0.000us       0.000us            64  
                                          aten::resize_         0.03%     298.862us         0.03%     298.862us       4.670us       0.000us         0.00%       0.000us       0.000us            64  
                                            aten::zeros         0.02%     132.306us         0.10%     850.003us      26.563us       0.000us         0.00%      29.278us       0.915us            32  
                                           aten::unbind         0.76%       6.677ms         1.82%      16.023ms      10.014us       0.000us         0.00%       0.000us       0.000us          1600  
                                              aten::max         0.02%     202.376us         0.04%     322.153us      10.067us       0.000us         0.00%       0.000us       0.000us            32  
                                             aten::item         0.64%       5.643ms         0.65%       5.685ms      35.530us       0.000us         0.00%       0.000us       0.000us           160  
                              aten::_local_scalar_dense         0.00%      41.602us         0.00%      41.602us       0.260us       0.000us         0.00%       0.000us       0.000us           160  
                                        aten::embedding         0.01%     112.739us         8.93%      78.494ms       2.453ms       0.000us         0.00%      65.280us       2.040us            32  
                                           aten::linear         1.22%      10.687ms        17.80%     156.416ms      50.392us       0.000us         0.00%      42.169ms      13.585us          3104  
                                                aten::t         0.85%       7.471ms         1.93%      16.941ms       5.458us       0.000us         0.00%       0.000us       0.000us          3104  
                                        aten::transpose         1.09%       9.552ms         1.67%      14.650ms       2.746us       0.000us         0.00%       0.000us       0.000us          5336  
                                        cudaMemsetAsync         0.00%      10.413us         0.00%      10.413us       0.434us       0.000us         0.00%       0.000us       0.000us            24  
                                         cuLaunchKernel         0.09%     793.210us         0.09%     793.210us       8.263us       0.000us         0.00%       0.000us       0.000us            96  
                                 aten::split_with_sizes         0.48%       4.188ms         0.75%       6.629ms       8.632us       0.000us         0.00%       0.000us       0.000us           768  
                                             aten::view         0.56%       4.892ms         0.56%       4.892ms       0.689us       0.000us         0.00%       0.000us       0.000us          7104  
                          vllm::unified_kv_cache_update         3.05%      26.757ms         6.20%      54.459ms      70.910us       0.000us         0.00%       1.320ms       1.719us           768  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 878.539ms
Self CUDA time total: 58.995ms

