"# source: runs.jsonl (protocol v2, seed-per-point, 84 gated points) · 2×RTX4090 · vLLM 0.25.1"
arm,input_len,mode,offered_rps,goodput_rps,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,gpu_seconds_per_request,gpu_count,run_id
tp2,512,sweep,7.8,7.4689,99.13104350562207,325.8657908719033,19.1157427912039,0.264,2,20260821T1922_tp2_512x128_sweep_rps7.8
tp2,512,sweep,9.3,8.8501,129.17229245067574,318.0899226095062,23.546412244107294,0.225,2,20260821T1923_tp2_512x128_sweep_rps9.3
tp2,512,sweep,10.9,10.0063,145.59472649125382,363.6670510668774,28.92425765354905,0.193,2,20260821T1924_tp2_512x128_sweep_rps10.9
tp2,512,sweep,11.8,10.1841,169.76122849155217,388.9400081394706,32.22546594077171,0.182,2,20260821T1925_tp2_512x128_sweep_rps11.8
tp2,2048,attribution,,,219.77826702641323,223.77567271818407,9.306358614401143,2.803,2,20260821T1914_tp2_2048x128_attribution
tp2,2048,saturation,,,1051.0715454875026,12785.257638955954,109.43051301952137,0.481,2,20260821T1918_tp2_2048x128_saturation
tp2,2048,sweep,1.8,1.7641,253.2074585033115,791.8671497103061,15.645338846398078,1.128,2,20260821T1931_tp2_2048x128_sweep_rps1.8
tp2,2048,sweep,2.7,2.508,310.01864647259936,1060.5599250533853,21.289071192832914,0.756,2,20260821T1928_tp2_2048x128_sweep_rps2.7
tp2,2048,sweep,3.3,1.7395,534.1858795145527,1742.296359756729,32.91569952784275,0.629,2,20260821T1929_tp2_2048x128_sweep_rps3.3
tp2,2048,sweep,3.8,1.0857,735.9332089836244,1725.0184248818553,64.76505345657586,0.556,2,20260821T1936_tp2_2048x128_sweep_rps3.8
tp2,2048,sweep,4.0,0.7532,666.110236023087,1422.189751324477,79.89236189755539,0.526,2,20260821T1934_tp2_2048x128_sweep_rps4.0
tp2,8192,attribution,,,881.3162029837258,896.9950177904684,9.47734607084779,4.165,2,20260821T1915_tp2_8192x128_attribution
tp2,8192,saturation,,,29659.43271300057,60398.11323421425,227.95079519658708,1.969,2,20260821T1919_tp2_8192x128_saturation
tp2,8192,sweep,0.45,0.4424,1012.372052995488,2551.934417375016,16.38139550405459,4.52,2,20260821T1937_tp2_8192x128_sweep_rps0.45
tp2,8192,sweep,0.68,0.5631,1143.676693958696,3385.611359006726,22.898082260003928,3.045,2,20260821T1939_tp2_8192x128_sweep_rps0.68
tp2,8192,sweep,0.81,0.6017,1190.2475065144245,3619.7562430228586,28.061465389786406,2.552,2,20260821T1942_tp2_8192x128_sweep_rps0.81
tp2,8192,sweep,0.95,0.5034,1547.4869275058154,3200.4305509210108,48.03545702744723,2.2,2,20260821T1944_tp2_8192x128_sweep_rps0.95
tp2,8192,sweep,1.0,0.1349,2090.63330796198,5809.049823743408,177.94433696856393,2.118,2,20260821T1945_tp2_8192x128_sweep_rps1.0
