# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:40:59+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pSYS_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=SYS"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:41:28.952, 4, 16, 2835 MHz
1, 2026/09/15 02:41:28.952, 4, 16, 2820 MHz
0, 2026/09/15 02:41:29.452, 4, 16, 2835 MHz
1, 2026/09/15 02:41:29.452, 4, 16, 2820 MHz
0, 2026/09/15 02:41:29.953, 4, 16, 2835 MHz
1, 2026/09/15 02:41:29.953, 4, 16, 2820 MHz
0, 2026/09/15 02:41:30.453, 4, 16, 2835 MHz
1, 2026/09/15 02:41:30.453, 4, 16, 2820 MHz
0, 2026/09/15 02:41:30.953, 4, 16, 2835 MHz
1, 2026/09/15 02:41:30.954, 4, 16, 2820 MHz
0, 2026/09/15 02:41:31.454, 4, 16, 2835 MHz
1, 2026/09/15 02:41:31.454, 4, 16, 2820 MHz
0, 2026/09/15 02:41:31.954, 4, 16, 2835 MHz
1, 2026/09/15 02:41:31.955, 4, 16, 2820 MHz
