# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:36:03+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
1, 2026/09/15 03:36:20.214, 4, 16, 2400 MHz, 100 %, 23713 MiB
0, 2026/09/15 03:36:20.414, 4, 16, 2460 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:20.414, 4, 16, 2400 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:20.615, 4, 16, 2460 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:20.615, 4, 16, 2400 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:20.815, 4, 16, 2340 MHz, 100 %, 23723 MiB
1, 2026/09/15 03:36:20.816, 4, 16, 2520 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:21.016, 4, 16, 2340 MHz, 100 %, 23745 MiB
1, 2026/09/15 03:36:21.016, 4, 16, 2520 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:21.217, 4, 16, 2475 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:21.217, 4, 16, 2460 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:21.417, 4, 16, 2475 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:21.418, 4, 16, 2460 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:21.618, 4, 16, 2475 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:21.618, 4, 16, 2460 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:21.819, 4, 16, 2415 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:21.819, 4, 16, 2655 MHz, 100 %, 23711 MiB
